PEOU_1,PEOU_2,PEOU_3,PEOU_4,PU_1,PU_2,PU_3,PU_4,ATT_1,ATT_2,ATT_3,ATT_4,BI_1,BI_2,BI_3,BI_4
5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4
4,5,4,4,4,4,5,4,4,5,4,4,5,4,5,4
3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3
2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3
1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1
5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5
4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4
3,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3
2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2
1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2
5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5
4,5,5,4,5,4,4,5,5,4,4,5,4,5,5,4
3,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4
2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3
1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2
5,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5
4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3
3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,2
2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2
1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1
5,5,4,4,5,5,4,5,4,5,5,5,5,5,4,4
4,4,4,5,5,4,4,4,4,5,4,5,5,4,4,5
3,3,3,4,4,3,3,4,3,4,4,3,4,4,3,4
2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,3
1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2
5,4,5,4,5,5,5,4,5,4,4,5,5,4,5,4
4,3,5,4,4,4,5,4,5,4,4,4,4,4,5,4
3,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3
2,2,3,3,3,2,3,2,3,2,2,3,3,2,3,2
1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1
5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5
4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4
3,4,3,3,4,3,4,4,4,3,4,3,4,3,4,4
2,3,2,2,3,2,3,3,3,2,3,2,3,2,3,3
1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2
5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5
4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5
3,4,3,4,3,4,4,3,4,3,4,4,4,3,4,3
2,3,2,3,2,3,3,2,3,2,3,3,3,2,3,2
1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1
5,4,5,5,5,4,4,5,5,5,4,4,5,5,4,5
4,3,4,5,4,4,3,5,4,5,4,3,4,5,4,4
3,3,3,4,3,4,3,4,3,4,3,3,4,4,3,4
2,2,2,3,2,3,2,3,2,3,2,2,3,3,2,3
1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2
5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,4
4,5,4,4,4,4,5,5,5,4,4,5,5,4,5,4
3,4,3,3,3,4,4,4,4,3,3,4,4,3,4,3
2,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2
1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,1
5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,5
4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4
3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3
2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2
5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4
4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4
3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3
2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2
1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1
5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5
4,3,4,4,4,3,4,5,4,4,4,5,4,3,4,5
3,2,3,3,3,2,3,4,3,3,3,4,3,2,3,4
2,1,2,2,2,1,2,3,2,2,2,3,2,1,2,3
5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
